"","sample_city_name","sample_site_name","sample_site_code","ons_site_name","grid_reference_east","grid_reference_north","grab_compo_ind"
"197","Greater Manchester","Wigan Roby Mill","UU-WCE","",NA,NA,"Grab"
"199","Greater Manchester","Wigan Marsh Green","UU-WKL","",NA,NA,"Grab"
"200","","BARSTON STW","UKENMI_ST_TP000020","BARSTON STW",419399,280281,"Grab"
"203","Greater London","Regent St","TW-REG","",NA,NA,"Grab"
"204","Greater London","Hawthorne Cres.","TW-HAW","",NA,NA,"Grab"
"205","","BARNOLDSWICK STW","UKENNW_UU_TP000011","",387849,448011,"Composite"
"209","","WELLINGBOROUGH   STW","UKENAN_AW_TP000037","",493847,268578,"Grab"
"210","Sheffield","Rother Valley, Birley","YW-RVB","",443269,385575,"Grab"
"213","","HORDEN AND PETERLEE STW","UKENNE_NU_TP000030","HORDEN AND PETERLEE STW",444099,542631,"Composite"
"215","Newcastle","Newcastle - Walker","NW-WKR","",429201,563816,"Grab"
"217","","BARROW-IN-FURNESS STW","UKENNW_UU_TP000012","BARROW IN FURNESS",321942,468543,"Composite"
"218","Southampton","SOUTHAMPTON WEST (MILLBROOK) STW","UKENSO_SW_TP000001","SOUTHAMPTON WEST (MILLBROOK) STW",438718,112480,"Grab"
"220","Bristol","Clifton","WW-CLF","",356439,173831,"Grab"
"222","Greater London","Costons Lane, Northolt Lane","TW-CLN","",NA,NA,"Grab"
"223","Sheffield","Shiregreen","YW-NTW","",437301,393305,"Grab"
"225","","CRAMLINGTON STW","UKENNE_NU_TP000020","",426789,579691,"Composite"
"226","Newcastle","Newcastle - Benton","NW-BTN","",472324,571629,"Grab"
"228","Luton","LUTON STW","UKENTH_TWU_TP000103","LITTLE MARLOW   STW",512349,217841,"Grab"
"229","","CIRENCESTER, CIRENCESTER, GLOS STW""","UKENTH_TWU_TP000047","",403359,196941,"Grab"
"230","","MACCLESFIELD STW","UKENNW_UU_TP000084","",389609,378201,"Composite"
"231","","BASILDON STW","UKENAN_AW_TP000303","",573699,190651,"Grab"
"232","Leeds","Manston, Scholes, Whinmoor","YW-MAN","",435742,434052,"Grab"
"235","","COLCHESTER STW","UKENAN_AW_TP000063","COLCHESTER   STW",602226,223615,"Grab"
"236","","MELTON MOWBRAY STW","UKENMI_ST_TP000152","",473489,318281,"Grab"
"237","","FALMOUTH STW","UKENSW_SWS_TP000025","",182302,32206,"Composite"
"238","Greater London","Makepeace Road","TW-MPR","",NA,NA,"Grab"
"240","","CANTERBURY STW","UKENSO_SW_TP000033","",616939,159720,"Composite"
"241","","HILLHOUSE STW","UKENNW_UU_TP000062","",335099,405591,"Composite"
"242","Birmingham","Vintage Close","ST-BVI","",414290,288334,"Grab"
"243","","MABLETHORPE STW","UKENAN_AW_TP000172","",549093,382502,"Grab"
"244","Nottingham","Sherwood","ST-SNC","",NA,NA,"Grab"
"245","","SPALDING STW","UKENAN_AW_TP000242","",526077,325171,"Grab"
"247","Greater Manchester","Davyhulme all areas","UU-DSD","",NA,NA,"Composite"
"249","Birmingham","Fulford Drive","ST-BFU","",414926,292303,"Grab"
"250","Leeds","Pudsey, Delph End, Fulneck","YW-PDF","",424594,433632,"Grab"
"251","","HYTHE STW","UKENSO_SW_TP000027","",615620,133984,"Grab"
"253","Cornwall G7","Penzance Chyandour","SWS-PNZ","",NA,NA,"Grab"
"256","Greater London","LONDON (Mogden STW)","UKENTH_TWU_TP000113","LONDON (Mogden STW)",515409,174721,"Composite"
"258","Leeds","Harehills South","YW-HAH","",432315,433766,"Grab"
"259","Greater London","South Vale","TW-SVL","",NA,NA,"Grab"
"261","","ASHFORD STW","UKENSO_SW_TP000026","",601950,143308,"Grab"
