sample_city_name,sample_site_name,sample_site_code,ons_site_name,grid_reference_east,grid_reference_north,grab_compo_ind
,"CAMBERLEY, CAMBERLEY, SURREY STW""",UKENTH_TWU_TP000033,,485799,159501,Grab
Greater London,LONDON (HOGSMILL Valley STW),UKENTH_TWU_TP000084,LONDON (HOGSMILL Valley STW),518999,168301,Grab
,SAFFRON WALDEN STW,UKENAN_AW_TP000224,,553342,238614,Grab
Newcastle,Newcastle - Gosforth,NW-GFH,,422882,569823,Grab
Greater London,Bedford Row1,TW-BED,,530803,181798,Grab
,REIGATE STW,UKENTH_TWU_TP000123,,527219,148041,Grab
Nottingham,Bulwell,ST-BNG,,453931,345189,Grab
,"DIDCOT, FOXHALL ROAD, DIDCOT, O STW""",UKENTH_TWU_TP000055,,451939,191421,Grab
Greater London,Barking Waverley Gdns,TW-WVG,,545226,183153,Unspecified
Greater London,Greenwich Terminal,TW-GWT,,538659,177791,Grab
,MINEHEAD STW,UKENSW_WXW_TP000057,,299129,145071,Composite
Birmingham,Tyburn Road All,ST-BTX,,410175,289765,Grab
,RETFORD STW,UKENMI_ST_TP000178,,469629,382781,Grab
,BARNSTAPLE   STW,UKENSW_SWS_TP000002,,253327,134309,Composite
Sheffield,Whirlow,YW-NFI,,432225,382593,Grab
Greater Manchester,Oldham Failsworth,UU-OFW,,390149,402043,Grab
,JAYWICK STW,UKENAN_AW_TP000148,,614064,214273,Grab
Nottingham,Nottingham City B,ST-NCB,,457551,339222,Grab
,CONSETT STW,UKENNE_NU_TP000019,,409679,554931,Composite
,BRIDLINGTON STW,UKENNE_YW_TP000061,,515971,465255,Composite
Greater London,Walthamstow Tudor Court,TW-TUC,,536549,187935,Grab
Bristol,Knowle West,WW-KNO,,356880,171793,Grab
,MIDDLESBOROUGH   STW,UKENNE_NU_TP000012,,456119,524091,Composite
Leeds,"Gipton, Oakwood",YW-GIP,,433803,434684,Grab
,SHEFFIELD (BLACKBURN MEADOWS) STW,UKENNE_YW_TP000057,,439589,391567,Grab
Greater Manchester,Wigan all areas,UU-WCA,,358372,405618,Grab
,KENDAL STW,UKENNW_UU_TP000070,,351699,490791,Composite
Sheffield,"Herdings, Backmoor, Rollestone, Hemsworth",YW-NSI,,435908,384446,Grab
Greater London,LONDON (Deepham STW),UKENTH_TWU_TP000054,LONDON (Deepham STW),535659,193171,Grab
,CAMBRIDGE STW,UKENAN_AW_TP000050,CAMBRIDGE,547187,261751,Grab
,TONBRIDGE STW,UKENSO_SW_TP000020,,559968,146230,Grab
,CHIPPENHAM STW,UKENSW_WXW_TP000023,,391799,171371,Composite
,ALFRETON STW,UKENMI_ST_TP000003,,441319,356891,Grab
Bristol,"Clay Bottom, Eastville, Ridgeway",WW-CUR,,362155,174793,Grab
Sheffield,Porter Brook,YW-SPB,,434544,386201,Grab
,MAIDSTONE AND AYLESFORD STW,UKENSO_SW_TP000030,MAIDSTONE AND AYLESFORD,571975,159382,Composite
Cornwall G7,"Relubbus, St Hilary, Golgsithney",SWS-TAV,,155971,31479,Grab
Greater Manchester,Oldham Butler Green,UU-OBW,,390554,403911,Grab
,STOCKPORT STW,UKENNW_UU_TP000116,,386519,389821,Composite
,DOVER/FOLKSTONE   STW,UKENSO_SW_TP000028,,628575,139968,Grab
,CORBY STW,UKENAN_AW_TP000067,,490525,289058,Grab
,WIGSTON STW,UKENMI_ST_TP000233,,459419,297141,Grab
Birmingham,Bescot Crescent Walsall,ST-BBC,,400627,296708,Grab
Newcastle,Newcastle -Seaton Valley,NW-SVY,,427070,575238,Grab
,SIDMOUTH STW,UKENSW_SWS_TP000064,,313655,90455,Composite
,TORQUAY/ PAIGNTON/ BRIXHAM  ) STW,UKENSW_SWS_TP000075,,289699,56301,Composite
,TELFORD SOUTH   STW,UKENMI_ST_TP000060,,370979,301401,Grab
,BOURNEMOUTH (HOLDENHURST) STW,UKENSW_WXW_TP000038,,413049,95051,Grab
,THORNE STW,UKENNE_YW_TP000133,,467829,414641,Grab
Greater London,Battle Road SPS,TW-BAT,,550601,178741,Grab
,PENRITH STW,UKENNW_UU_TP000100,,354763,529550,Composite
Greater London,LONDON (Long Reach STW),UKENTH_TWU_TP000102,,555599,176701,Grab
,HULL STW,UKENNE_YW_TP000095,HULL STW,516284,429068,Composite
,WASHINGTON STW,UKENNE_NU_TP000055,WASHINGTON STW,432799,555701,Composite
Bristol,Redland,WW-RED,,358479,174539,Grab
,"TOTTON, MARCHWOOD, HYTHE, CADNAM STW""",UKENSO_SW_TP000011,"TOTTON, MARCHWOOD, HYTHE, CADNAM   STW""",438275,111125,Composite
,"BORDON, BORDON, HANTS STW""",UKENTH_TWU_TP000023,,480299,136201,Grab
,DISS STW,UKENAN_AW_TP000078,,612081,279287,Grab
Nottingham,Gelding Residual,ST-GNS,,461142,343098,Grab
Greater London,Havering Park Farm Rd,TW-PFR,,555231,184973,Grab
Nottingham,NOTTINGHAM STW,UKENMI_ST_TP000163,STOKE BARDOLPH (Nottingham),464729,342221,Grab
,MANSFIELD STW,UKENMI_ST_TP000143,,454829,362421,Grab
,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,LANCASTER (STODDAY) STW,345699,458711,Composite
,RUGBY NEWBOLD STW,UKENMI_ST_TP000182,,449419,276351,Grab
Greater London,Arnold Road,TW-ARN,,537233,182814,Grab
,DEREHAM STW,UKENAN_AW_TP000077,,597632,313606,Grab
,CHALTON STW,UKENAN_AW_TP000051,,502806,226864,Grab
Greater London,"Rayners Lane, Harrow Branch Sewer",TW-RLH,,512977,187746,Grab
Greater Manchester,Stockport Centre,UU-SKC,,386674,395725,Grab
Greater Manchester,Wigan Shevington South,UU-WCF,,354341,410562,Grab
,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,,333099,446501,Grab
,KINGS LYNN STW,UKENAN_AW_TP000154,,560275,322372,Grab
,BLANDFORD FORUM   STW,UKENSW_WXW_TP000085,,391729,102961,Composite
Liverpool,Bank Kirkdale,UU-BKI,,334461,393919,Grab
,LINCOLN STW,UKENAN_AW_TP000161,LINCOLN (Canwick works),499884,370410,Unspecified
,NEWBURY STW,UKENTH_TWU_TP000116,,449859,166721,Grab
,PRESTON (CLIFTON MARSH) STW,UKENNW_UU_TP000102,,345709,427931,Grab
,RADLETT   STW,UKENTH_TWU_TP000021,,513709,201061,Unspecified
Bristol,Hartcliffe,WW-HAR,,358183,169027,Grab
Greater London,Richford Street,TW-RIC,,523118,179632,Grab
Birmingham,Viaduct Street,ST-BVS,,408579,287295,Grab
,LISKEARD   STW,UKENSW_SWS_TP000045,,224102,63078,Composite
Greater London,Earl Sewer,TW-ELS,,536153,178821,Grab
Liverpool,Rimrose,UU-RRO,,333437,395648,Grab
,HUNTINGDON STW,UKENAN_AW_TP000139,,526112,271009,Grab
Nottingham,Clifton,ST-CNR,,455154,334528,Grab
,INGOLDMELLS STW,UKENAN_AW_TP000143,,555731,367766,Grab
Greater London,Walthamstow Black Path,TW-BPH,,536060,187646,Grab
Greater London,Redbridge Roding Valley,TW-ROV,,541593,192895,Grab
,"SWINDON, RODBOURNE, SWINDON, WI STW""",UKENTH_TWU_TP000139,,412709,185801,Grab
,BOSTON STW,UKENAN_AW_TP000023,,535699,340996,Grab
,WALSALL SOUTH   STW,UKENMI_ST_TP000100,,402189,301921,Grab
